feature_class	module	feature	gene_symbol	ids	n_ids	ko_ids	ec_ids	cazy_ids	camper_ids	confidence	description	reference
LBP_glycan	LbGp4	endo-β-1,4-galactanase gene	endo-β-1,4-galactanase gene	GH147,GH53	2		EC:3.2.1.89	GH147,GH53		High	Backbone | (1→4)-β-Gal	https://doi.org/10.3390/foods11203177
LBP_glycan	LbGp4	β-galactosidase / α-L-arabinofuranosidase / rhamnosidase genes	β-galactosidase / α-L-arabinofuranosidase / rhamnosidase genes	GH1,GH106,GH147,GH159,GH16,GH165,GH173,GH2,GH3,GH35,GH39,GH42,GH43,GH5,GH50,GH51,GH54,GH62,GH78	19		EC:3.2.1.23,EC:3.2.1.40,EC:3.2.1.55	GH1,GH106,GH147,GH159,GH16,GH165,GH173,GH2,GH3,GH35,GH39,GH42,GH43,GH5,GH50,GH51,GH54,GH62,GH78		High	Branch | (1→3)-β-Gal with T-α-Ara-(1→ and T-β-Rha-(1→	https://doi.org/10.3390/foods11203177
LBP_glycan	LbGp2	galactan endo-1,6-β-galactosidase gene	galactan endo-1,6-β-galactosidase gene	GH30,GH5	2		EC:3.2.1.164	GH30,GH5		High	Backbone | (1→6)-β-Galp	https://doi.org/10.3390/foods11203177
LBP_glycan	LbGp2	β-L-arabinofuranosidase / β-galactosidase / α-L-arabinofuranosidase genes	β-L-arabinofuranosidase / β-galactosidase / α-L-arabinofuranosidase genes	GH1,GH127,GH137,GH142,GH146,GH147,GH159,GH16,GH165,GH173,GH2,GH3,GH35,GH39,GH42,GH43,GH5,GH50,GH51,GH54,GH62	21		EC:3.2.1.185,EC:3.2.1.23,EC:3.2.1.55	GH1,GH127,GH137,GH142,GH146,GH147,GH159,GH16,GH165,GH173,GH2,GH3,GH35,GH39,GH42,GH43,GH5,GH50,GH51,GH54,GH62		High	Branch | (1→3)-β-Araf and (1→3)-β-Galp with T-α-Araf-(1→	https://doi.org/10.3390/foods11203177
LBP_glycan	LbGp4-OL	endo-β-1,4-galactanase gene	endo-β-1,4-galactanase gene	GH147,GH53	2		EC:3.2.1.89	GH147,GH53		Medium	Backbone | (1→4)-linked Galp	https://doi.org/10.3390/foods11203177
LBP_glycan	LbGp4-OL	β-galactosidase gene; conditional specific exo/endo galactanase if side chain is continuous	β-galactosidase gene; conditional specific exo/endo galactanase if side chain is continuous	GH1,GH147,GH16,GH165,GH173,GH2,GH3,GH35,GH39,GH42,GH43,GH5,GH50,GH54	14		EC:3.2.1.145,EC:3.2.1.23	GH1,GH147,GH16,GH165,GH173,GH2,GH3,GH35,GH39,GH42,GH43,GH5,GH50,GH54		High	Branch | (1→3)-β-Galp	https://doi.org/10.3390/foods11203177
LBP_glycan	LbGp4-OL	α-L-rhamnosidase gene	α-L-rhamnosidase gene	GH106,GH78	2		EC:3.2.1.40	GH106,GH78		High	Branch | (1→3)-α-Rhap	https://doi.org/10.3390/foods11203177
LBP_glycan	LbGp4-OL	β-L-arabinofuranosidase gene	β-L-arabinofuranosidase gene	GH127,GH137,GH142,GH146	4		EC:3.2.1.185	GH127,GH137,GH142,GH146		High	Branch | (1→3)-β-Araf; (1→5)-β-Araf	https://doi.org/10.3390/foods11203177
LBP_glycan	LbGp1-OL	galactan endo-1,6-β-galactosidase gene	galactan endo-1,6-β-galactosidase gene	GH30,GH5	2		EC:3.2.1.164	GH30,GH5		High	Backbone | (1→6)-β-Galp	https://doi.org/10.3390/foods11203177
LBP_glycan	LbGp1-OL	β-galactosidase gene; conditional specific exo/endo galactanase if side chain is continuous	β-galactosidase gene; conditional specific exo/endo galactanase if side chain is continuous	GH1,GH147,GH16,GH165,GH173,GH2,GH3,GH35,GH39,GH42,GH43,GH5,GH50,GH54	14		EC:3.2.1.145,EC:3.2.1.23	GH1,GH147,GH16,GH165,GH173,GH2,GH3,GH35,GH39,GH42,GH43,GH5,GH50,GH54		High	Branch | (1→3)-β-Galp	https://doi.org/10.3390/foods11203177
LBP_glycan	LbGp1-OL	β-L-arabinofuranosidase gene	β-L-arabinofuranosidase gene	GH127,GH137,GH142,GH146	4		EC:3.2.1.185	GH127,GH137,GH142,GH146		High	Branch | (1→3)-β-Araf	https://doi.org/10.3390/foods11203177
LBP_glycan	LbGp1-OL	α-L-arabinofuranosidase gene	α-L-arabinofuranosidase gene	GH159,GH2,GH3,GH43,GH5,GH51,GH54,GH62	8		EC:3.2.1.55	GH159,GH2,GH3,GH43,GH5,GH51,GH54,GH62		High	Branch | T-α-Araf-(1→	https://doi.org/10.3390/foods11203177
